Acct ID,Symbol,,Trade Date/Time,Settle Date,Exchange,Type,Quantity,Price,Proceeds,Comm,Fee,Code
Stocks,,,,,,,,,,,,
USD,,,,,,,,,,,,
U2101073,EFA,,"2018-01-02, 15:45:17",2018-01-04,-,SELL,-14,70.73,990.22,-1.02,0,D
Total EFA (Sold),,,,,,,-28,70.505,"1,974.14",-2.05,0,
Total EFA,,,,,,,0,,28.84,-4.05,0,
U2101073,EOG,,"2018-03-01, 15:57:16",2018-03-05,-,BUY,33,101.09,"-3,335.97",-1,0,
Total EOG (Bought),,,,,,,33,101.09,"-3,335.97",-1,0,
U2101073,EWA,,"2017-12-07, 15:57:22",2017-12-11,-,BUY,73,22.5993,"-1,649.75",-1,0,D
U2101073,EWA,,"2018-02-05, 09:30:00",2018-02-07,-,BUY,142,23.3,"-3,308.60",-1,0,
Total EWA (Bought),,,,,,,215,23.0620879,"-4,958.35",-2,0,
U2101073,EWA,,"2017-12-13, 15:50:43",2017-12-15,-,SELL,-73,23.17,"1,691.41",-1.05,0,
U2101073,EWA,,"2018-02-05, 15:08:15",2018-02-07,-,SELL,-142,22.835,"3,242.57",-1.09,0,
Total EWA (Sold),,,,,,,-215,22.9487442,"4,933.98",-2.14,0,
Total EWA,,,,,,,0,,-24.37,-4.14,0,
U2101073,EWG,,"2018-02-05, 09:30:00",2018-02-07,-,BUY,98,33.65,"-3,297.70",-1,0,
Total EWG (Bought),,,,,,,98,33.65,"-3,297.70",-1,0,
U2101073,EWG,,"2018-02-05, 15:04:47",2018-02-07,-,SELL,-98,32.97,"3,231.06",-1.09,0,
Total EWG (Sold),,,,,,,-98,32.97,"3,231.06",-1.09,0,
Total EWG,,,,,,,0,,-66.64,-2.09,0,
U2101073,EWH,,"2017-12-01, 13:32:50",2017-12-05,-,BUY,65,25.57,"-1,662.05",-1,0,
Total EWH (Bought),,,,,,,65,25.57,"-1,662.05",-1,0,
U2101073,EWH,,"2017-12-12, 15:06:32",2017-12-14,-,SELL,-65,25.35,"1,647.75",-1.05,0,
Total EWH (Sold),,,,,,,-65,25.35,"1,647.75",-1.05,0,
Total EWH,,,,,,,0,,-14.3,-2.05,0,
U2101073,EWI,,"2017-12-14, 09:48:50",2017-12-18,-,BUY,53,30.8389,"-1,634.46",-1,0,
U2101073,EWI,,"2017-12-15, 15:48:38",2017-12-19,-,BUY,54,30.38,"-1,640.52",-1,0,
Total EWI (Bought),,,,,,,107,30.6073056,"-3,274.98",-2,0,
U2101073,EWI,,"2017-12-22, 15:39:23",2017-12-27,-,SELL,-54,30.7,"1,657.80",-1.04,0,
U2101073,EWI,,"2017-12-22, 15:39:23",2017-12-27,-,SELL,-53,30.7,"1,627.10",-1.04,0,
Total EWI (Sold),,,,,,,-107,30.7,"3,284.90",-2.09,0,
Total EWI,,,,,,,0,,9.92,-4.09,0,
U2101073,EWP,,"2018-02-05, 09:30:00",2018-02-07,-,BUY,95,34.37,"-3,265.15",-1,0,
Total EWP (Bought),,,,,,,95,34.37,"-3,265.15",-1,0,
U2101073,EWP,,"2018-02-05, 14:44:09",2018-02-07,-,SELL,-95,33.961,"3,226.30",-1.09,0,
Total EWP (Sold),,,,,,,-95,33.961,"3,226.30",-1.09,0,
Total EWP,,,,,,,0,,-38.86,-2.09,0,
U2101073,EWT,,"2017-12-06, 15:54:02",2017-12-08,-,BUY,100,35.979,"-3,597.90",-1,0,
U2101073,EWT,,"2017-12-08, 15:54:30",2017-12-12,-,BUY,45,36.28,"-1,632.60",-1,0,
U2101073,EWT,,"2018-02-06, 15:44:41",2018-02-08,-,BUY,88,37.22,"-3,275.36",-1,0,
U2101073,EWT,,"2018-02-13, 11:19:21",2018-02-15,-,BUY,88,36.32,"-3,196.16",-1,0,
Total EWT (Bought),,,,,,,321,36.454891,"-11,702.02",-4,0,
U2101073,EWT,,"2017-12-06, 15:56:30",2017-12-08,-,SELL,-54,36,"1,944.00",-1.05,0,
U2101073,EWT,,"2017-12-14, 15:42:45",2017-12-18,-,SELL,-91,36.6,"3,330.60",-1.09,0,
U2101073,EWT,,"2018-02-08, 10:46:20",2018-02-12,-,SELL,-88,35.9811,"3,166.34",-1.08,0,
U2101073,EWT,,"2018-02-08, 10:46:20",2018-02-12,-,SELL,-88,35.98,"3,166.24",-1.08,0,
Total EWT (Sold),,,,,,,-321,36.1594293,"11,607.18",-4.31,0,
Total EWT,,,,,,,0,,-94.84,-8.31,0,
U2101073,EWY,,"2017-12-07, 15:58:55",2017-12-11,-,BUY,22,74.235,"-1,633.17",-1,0,
U2101073,EWY,,"2017-12-08, 15:58:55",2017-12-12,-,BUY,22,74.38,"-1,636.36",-1,0,
U2101073,EWY,,"2017-12-19, 15:45:08",2017-12-21,-,BUY,22,72.96,"-1,605.12",-1,0,
Total EWY (Bought),,,,,,,66,73.8583333,"-4,874.65",-3,0,
U2101073,EWY,,"2017-12-13, 15:50:16",2017-12-15,-,SELL,-22,75.55,"1,662.10",-1.04,0,
U2101073,EWY,,"2017-12-13, 15:50:24",2017-12-15,-,SELL,-22,75.5401,"1,661.88",-1.04,0,
U2101073,EWY,,"2017-12-29, 04:32:45",2018-01-03,-,SELL,-22,74.84,"1,646.48",-1.04,0,
Total EWY (Sold),,,,,,,-66,75.3100333,"4,970.46",-3.12,0,
Total EWY,,,,,,,0,,95.81,-6.12,0,
U2101073,FB,,"2018-03-01, 15:56:50",2018-03-05,-,BUY,19,176.29,"-3,349.51",-1,0,
Total FB (Bought),,,,,,,19,176.29,"-3,349.51",-1,0,
U2101073,FB,,"2018-03-07, 14:36:45",2018-03-09,-,SELL,-19,182.89,"3,474.91",-1.08,0,
Total FB (Sold),,,,,,,-19,182.89,"3,474.91",-1.08,0,
Total FB,,,,,,,0,,125.4,-2.08,0,
U2101073,FBT,,"2018-02-06, 13:42:05",2018-02-08,-,BUY,25,132.69,"-3,317.25",-1,0,
Total FBT (Bought),,,,,,,25,132.69,"-3,317.25",-1,0,
U2101073,FBT,,"2018-02-09, 10:15:28",2018-02-13,-,SELL,-25,129.1,"3,227.50",-1.08,0,
Total FBT (Sold),,,,,,,-25,129.1,"3,227.50",-1.08,0,
Total FBT,,,,,,,0,,-89.75,-2.08,0,
U2101073,FDX,,"2018-03-08, 15:56:51",2018-03-12,-,BUY,13,240.2679,"-3,123.48",-1,0,D
Total FDX (Bought),,,,,,,13,240.2679,"-3,123.48",-1,0,
U2101073,FIS,,"2018-03-01, 15:57:29",2018-03-05,-,BUY,35,95.96,"-3,358.60",-1,0,
Total FIS (Bought),,,,,,,35,95.96,"-3,358.60",-1,0,
U2101073,FIS,,"2018-03-05, 15:59:10",2018-03-07,-,SELL,-35,99.59,"3,485.65",-1.08,0,P
Total FIS (Sold),,,,,,,-35,99.59,"3,485.65",-1.08,0,
Total FIS,,,,,,,0,,127.05,-2.08,0,
U2101073,FXI,,"2018-02-12, 10:54:09",2018-02-14,-,BUY,71,46.169,"-3,278.00",-1,0,
U2101073,FXI,,"2018-02-28, 15:53:50",2018-03-02,-,BUY,70,47.32,"-3,312.40",-1,0,D
Total FXI (Bought),,,,,,,141,46.7404184,"-6,590.40",-2,0,
U2101073,FXI,,"2018-02-15, 13:37:20",2018-02-20,-,SELL,-71,49.035,"3,481.48",-1.09,0,
Total FXI (Sold),,,,,,,-71,49.035,"3,481.48",-1.09,0,
Total FXI,,,,,,,70,,"-3,108.91",-3.09,0,
U2101073,FXO,,"2018-01-03, 10:50:32",2018-01-05,-,BUY,53,31.28,"-1,657.84",-1,0,
Total FXO (Bought),,,,,,,53,31.28,"-1,657.84",-1,0,
U2101073,FXO,,"2018-01-05, 15:46:17",2018-01-09,-,SELL,-13,31.7,412.1,-1.01,0,
U2101073,FXO,,"2018-01-08, 10:47:03",2018-01-10,-,SELL,-13,31.68,411.84,-1.01,0,
U2101073,FXO,,"2018-01-08, 11:19:36",2018-01-10,-,SELL,-27,31.68,855.36,-1.02,0,
Total FXO (Sold),,,,,,,-53,31.6849057,"1,679.30",-3.05,0,
Total FXO,,,,,,,0,,21.46,-4.05,0,
U2101073,HRS,,"2018-01-25, 15:48:56",2018-01-29,-,BUY,23,144.52,"-3,323.96",-1,0,
